Algebra,Bitlen,Base,#Threads,Total Time,Total Comm,Conv Time,Conv Comm,MatMul Time,MatMul Comm,BatchNorm Time,BatchNorm Comm,Truncation Time,Truncation Comm,ReLU Time,ReLU Comm,MaxPool Time,MaxPool Comm,AvgPool Time,AvgPool Comm,ArgMax Time,ArgMax Comm
Ring,60,4,4,0.073,0.370569,0,0,0,0,0,0,0.058,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.292,0.549955,0.046,0.208185,0.045,0.208185,0,0,0.246,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.208,0.370569,0,0,0,0,0,0,0.144,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.414,8.72405,0.142,4.1012,0.142,4.1012,0,0,0.269,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.516,4.79257,0,0,0,0,0,0,0.251,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.399,2.10432,0.218,0.832741,0.217,0.832741,0,0,0.179,0.434734,0,0,0,0,0,0,0,0
Ring,60,4,4,0.304,1.29302,0,0,0,0,0,0,0.242,0.434734,0,0,0,0,0,0,0,0
Ring,60,4,4,0.396,0.549955,0.066,0.208185,0.065,0.208185,0,0,0.326,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.331,0.370569,0,0,0,0,0,0,0.179,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.45,8.72405,0.143,4.1012,0.143,4.1012,0,0,0.302,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.813,4.79257,0,0,0,0,0,0,0.335,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.39,0.549955,0.136,0.208185,0.136,0.208185,0,0,0.251,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.374,0.370569,0,0,0,0,0,0,0.225,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.344,8.72405,0.157,4.1012,0.157,4.1012,0,0,0.186,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.752,4.79257,0,0,0,0,0,0,0.236,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.778,2.10432,0.449,0.832741,0.447,0.832741,0,0,0.327,0.434734,0,0,0,0,0,0,0,0
Ring,60,4,4,0.429,1.29302,0,0,0,0,0,0,0.288,0.434734,0,0,0,0,0,0,0,0
Ring,60,4,4,0.491,1.27975,0.12,0.573084,0.119,0.573084,0,0,0.361,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,2.848,17.5317,0,0,0,0,0,0,0.333,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,2.799,17.5317,0,0,0,0,0,0,0.273,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.462,1.27975,0.121,0.573084,0.121,0.573084,0,0,0.34,0.132517,0,0,0,0,0,0,0,0
